DATE,RCS,EFFECTIFS
2021-04-27,414993998,42
2021-04-27,414993998,42
2021-04-27,414993998,41
2021-04-27,414993998,41
2021-04-14,345086177,41
2020-03-29,577150154,32
2021-09-16,833669625,32
2021-09-29,352617393,32
2021-05-25,309382901,32
2021-02-02,398471565,32
2021-06-22,752816496,32
2021-09-02,399318088,32
2021-02-02,398471565,32
2021-09-28,402254437,31
2021-09-15,751588567,31
2021-01-05,389333568,31
2021-04-08,384353413,31
2021-04-08,384353413,31
2021-03-10,505397554,31
2020-01-10,390053411,22
2020-01-10,588501312,22
2020-01-10,588501312,22
2020-01-27,304349673,22
2020-01-15,450477153,22
2020-01-08,510409667,22
2021-02-10,434400206,22
2021-01-21,440916351,22
2021-04-30,813865870,22
2021-04-19,833669567,22
2021-05-26,379916919,22
2021-06-11,754015923,22
2021-02-24,340125327,22
2021-05-31,530390715,22
2021-01-07,380003699,22
2021-06-24,384890281,22
2021-06-14,382068120,22
2021-04-23,711680140,22
2021-04-08,384353413,22
2021-02-02,398471565,22
2021-04-08,384353413,22
2021-04-14,443044243,22
2021-06-28,531332310,22
2021-02-02,398471565,22
2020-03-29,447918368,21
2020-01-10,971506357,21
2020-01-15,841063316,21
2020-01-22,652030818,21
2020-01-06,837631290,21
2020-01-06,302238837,21
2020-01-16,518201785,21
2020-01-29,400604229,21
2020-01-14,404949430,21
2020-01-17,331911701,21
2020-01-07,339757031,21
2020-01-22,555750389,21
2021-05-26,682820311,21
2021-01-08,798744264,21
2021-02-10,434400206,21
2021-06-25,432182863,21
2021-04-15,391751898,21
2021-04-01,421763442,21
2021-09-28,402254437,21
2021-09-28,402254437,21
2021-02-24,327323770,21
2021-02-24,318650272,21
2021-07-15,810992800,21
2021-09-08,444818827,21
2021-01-28,384217170,21
2021-09-10,94130994,21
2021-01-13,477514806,21
2021-10-05,378600308,21
2021-10-06,338276090,21
2021-07-22,520425000,21
2021-01-13,333845337,21
2021-03-12,443814207,21
2021-09-29,449399492,21
2021-02-10,517833687,21
2021-02-10,517833687,21
2021-03-12,302077987,21
2021-08-02,552140816,21
2021-02-08,495272536,21
2020-12-23,471202424,21
2021-04-21,433054178,21
2021-05-04,388933004,21
2021-05-04,793810847,21
2021-05-27,382032480,21
2021-05-21,788882389,21
2020-11-12,423683093,21
2021-04-08,384353413,21
2021-03-04,835081605,21
2021-02-24,507895456,21
2021-09-02,822161683,21
2021-03-10,354200438,21
2021-02-02,830782587,21
2021-04-08,384353413,21
2021-05-17,335233409,21
2021-06-01,444100473,21
2021-04-14,484283882,21
2021-03-01,309192821,21
2021-01-19,390888659,21
2021-01-13,499796233,21
2021-03-24,322759499,21
2021-02-10,794981050,21
2021-01-06,814852109,21
2021-01-13,522086651,21
2021-01-26,828692244,21
2021-02-09,331337154,21
